First Type,Second Type,Defensive Score,Offensive Score,Total Score
Normal,Fire,2.0,4.0,6.0
Normal,Water,4.0,6.0,10.0
Normal,Electric,4.0,4.0,8.0
Normal,Grass,0.0,6.0,6.0
Normal,Ice,-3.0,8.0,5.0
Normal,Fighting,2.0,2.5,4.5
Normal,Poison,2.0,0.0,2.0
Normal,Ground,4.0,8.0,12.0
Normal,Flying,6.0,4.0,10.0
Normal,Psychic,4.0,4.0,8.0
Normal,Bug,0.0,4.0,4.0
Normal,Rock,1.0,8.0,9.0
Normal,Ghost,16.0,2.0,18.0
Normal,Dragon,6.0,2.0,8.0
Fire,Water,1.5,8.0,9.5
Fire,Electric,1.0,8.0,9.0
Fire,Grass,-2.5,8.0,5.5
Fire,Ice,-5.0,10.0,5.0
Fire,Fighting,-0.5,10.0,9.5
Fire,Poison,-1.5,4.0,2.5
Fire,Ground,1.0,14.0,15.0
Fire,Flying,4.0,6.0,10.0
Fire,Psychic,6.0,10.0,16.0
Fire,Bug,-3.5,8.0,4.5
Fire,Rock,-2.5,10.0,7.5
Fire,Ghost,9.5,8.0,17.5
Fire,Dragon,3.0,8.0,11.0
Water,Electric,4.0,6.0,10.0
Water,Grass,-0.5,4.0,3.5
Water,Ice,-2.5,10.0,7.5
Water,Fighting,2.0,10.0,12.0
Water,Poison,2.0,10.0,12.0
Water,Ground,5.0,8.0,13.0
Water,Flying,5.0,12.0,17.0
Water,Psychic,8.0,10.0,18.0
Water,Bug,0.0,12.0,12.0
Water,Rock,0.5,12.0,12.5
Water,Ghost,12.0,8.0,20.0
Water,Dragon,5.0,8.0,13.0
Electric,Grass,-0.5,4.0,3.5
Electric,Ice,-2.0,10.0,8.0
Electric,Fighting,2.0,10.0,12.0
Electric,Poison,1.0,6.0,7.0
Electric,Ground,2.0,10.0,12.0
Electric,Flying,8.0,8.0,16.0
Electric,Psychic,8.0,8.0,16.0
Electric,Bug,0.0,10.0,10.0
Electric,Rock,0.5,8.0,8.5
Electric,Ghost,12.0,6.0,18.0
Electric,Dragon,5.5,6.0,11.5
Grass,Ice,-7.0,12.0,5.0
Grass,Fighting,-3.0,4.0,1.0
Grass,Poison,-3.5,8.0,4.5
Grass,Ground,-3.0,6.0,3.0
Grass,Flying,-1.5,12.0,10.5
Grass,Psychic,3.0,10.0,13.0
Grass,Bug,-8.0,8.0,0.0
Grass,Rock,-2.0,14.0,12.0
Grass,Ghost,8.0,8.0,16.0
Grass,Dragon,-0.5,8.0,7.5
Ice,Fighting,-4.0,14.0,10.0
Ice,Poison,-4.0,10.0,6.0
Ice,Ground,-2.0,16.0,14.0
Ice,Flying,-1.0,12.0,11.0
Ice,Psychic,2.0,12.0,14.0
Ice,Bug,-8.0,12.0,4.0
Ice,Rock,-5.0,14.0,9.0
Ice,Ghost,8.0,10.0,18.0
Ice,Dragon,0.0,8.0,8.0
Fighting,Poison,-1.0,6.0,5.0
Fighting,Ground,1.5,8.0,9.5
Fighting,Flying,3.5,12.0,15.5
Fighting,Psychic,6.0,8.0,14.0
Fighting,Bug,-3.0,8.0,5.0
Fighting,Rock,0.0,12.0,12.0
Fighting,Ghost,9.5,6.0,15.5
Fighting,Dragon,4.0,8.0,12.0
Poison,Ground,1.5,12.0,13.5
Poison,Flying,5.0,4.0,9.0
Poison,Psychic,4.5,8.0,12.5
Poison,Bug,-3.0,6.0,3.0
Poison,Rock,-1.5,8.0,6.5
Poison,Ghost,7.5,6.0,13.5
Poison,Dragon,3.5,6.0,9.5
Ground,Flying,7.0,14.0,21.0
Ground,Psychic,8.0,10.0,18.0
Ground,Bug,0.0,10.0,10.0
Ground,Rock,-0.5,14.0,13.5
Ground,Ghost,11.5,10.0,21.5
Ground,Dragon,3.0,10.0,13.0
Flying,Psychic,9.5,8.0,17.5
Flying,Bug,-2.0,10.0,8.0
Flying,Rock,6.0,12.0,18.0
Flying,Ghost,11.5,8.0,19.5
Flying,Dragon,6.5,8.0,14.5
Psychic,Bug,3.5,8.0,11.5
Psychic,Rock,6.0,12.0,18.0
Psychic,Ghost,16.0,4.0,20.0
Psychic,Dragon,10.0,6.0,16.0
Bug,Rock,-2.0,12.0,10.0
Bug,Ghost,6.0,8.0,14.0
Bug,Dragon,1.5,8.0,9.5
Rock,Ghost,9.5,10.0,19.5
Rock,Dragon,3.5,10.0,13.5
Ghost,Dragon,14.0,4.0,18.0
