First Type,Second Type,Third Type,Defensive Score,Offensive Score,Total Score
Normal,Fire,Water,10.5,6.0,16.5
Normal,Fire,Electric,10.5,6.0,16.5
Normal,Fire,Grass,5.5,6.0,11.5
Normal,Fire,Ice,-0.5,6.0,5.5
Normal,Fire,Fighting,7.5,6.0,13.5
Normal,Fire,Poison,11.5,6.0,17.5
Normal,Fire,Ground,9.0,6.0,15.0
Normal,Fire,Flying,12.0,6.0,18.0
Normal,Fire,Psychic,8.0,6.0,14.0
Normal,Fire,Bug,6.5,6.0,12.5
Normal,Fire,Rock,2.5,6.0,8.5
Normal,Fire,Ghost,19.5,6.0,25.5
Normal,Fire,Dragon,9.0,6.0,15.0
Normal,Fire,Dark,7.0,6.0,13.0
Normal,Fire,Steel,21.5,6.0,27.5
Normal,Fire,Fairy,13.5,6.0,19.5
Normal,Water,Electric,9.5,6.0,15.5
Normal,Water,Grass,3.5,6.0,9.5
Normal,Water,Ice,-1.5,6.0,4.5
Normal,Water,Fighting,6.0,6.0,12.0
Normal,Water,Poison,12.0,6.0,18.0
Normal,Water,Ground,9.0,6.0,15.0
Normal,Water,Flying,9.0,6.0,15.0
Normal,Water,Psychic,6.0,6.0,12.0
Normal,Water,Bug,6.0,6.0,12.0
Normal,Water,Rock,1.5,6.0,7.5
Normal,Water,Ghost,18.0,6.0,24.0
Normal,Water,Dragon,7.0,6.0,13.0
Normal,Water,Dark,5.0,6.0,11.0
Normal,Water,Steel,22.0,6.0,28.0
Normal,Water,Fairy,12.0,6.0,18.0
Normal,Electric,Grass,3.5,4.0,7.5
Normal,Electric,Ice,-1.0,4.0,3.0
Normal,Electric,Fighting,6.0,4.0,10.0
Normal,Electric,Poison,11.0,4.0,15.0
Normal,Electric,Ground,6.0,4.0,10.0
Normal,Electric,Flying,12.0,4.0,16.0
Normal,Electric,Psychic,6.0,4.0,10.0
Normal,Electric,Bug,6.0,4.0,10.0
Normal,Electric,Rock,1.5,4.0,5.5
Normal,Electric,Ghost,18.0,4.0,22.0
Normal,Electric,Dragon,7.5,4.0,11.5
Normal,Electric,Dark,5.0,4.0,9.0
Normal,Electric,Steel,21.0,4.0,25.0
Normal,Electric,Fairy,12.0,4.0,16.0
Normal,Grass,Ice,-8.0,4.0,-4.0
Normal,Grass,Fighting,-1.0,4.0,3.0
Normal,Grass,Poison,5.5,4.0,9.5
Normal,Grass,Ground,-1.0,4.0,3.0
Normal,Grass,Flying,0.5,4.0,4.5
Normal,Grass,Psychic,-1.0,4.0,3.0
Normal,Grass,Bug,-3.0,4.0,1.0
Normal,Grass,Rock,-3.0,4.0,1.0
Normal,Grass,Ghost,12.0,4.0,16.0
Normal,Grass,Dragon,-0.5,4.0,3.5
Normal,Grass,Dark,-2.0,4.0,2.0
Normal,Grass,Steel,17.5,4.0,21.5
Normal,Grass,Fairy,5.0,4.0,9.0
Normal,Ice,Fighting,-5.0,6.0,1.0
Normal,Ice,Poison,2.0,6.0,8.0
Normal,Ice,Ground,-3.0,6.0,3.0
Normal,Ice,Flying,-1.0,6.0,5.0
Normal,Ice,Psychic,-4.0,6.0,2.0
Normal,Ice,Bug,-6.0,6.0,0.0
Normal,Ice,Rock,-1.0,6.0,5.0
Normal,Ice,Ghost,10.0,6.0,16.0
Normal,Ice,Dragon,-3.0,6.0,3.0
Normal,Ice,Dark,2.0,6.0,8.0
Normal,Ice,Steel,18.5,6.0,24.5
Normal,Ice,Fairy,1.0,6.0,7.0
Normal,Fighting,Poison,6.5,6.5,13.0
Normal,Fighting,Ground,3.5,6.5,10.0
Normal,Fighting,Flying,5.5,6.5,12.0
Normal,Fighting,Psychic,2.0,6.5,8.5
Normal,Fighting,Bug,1.0,6.5,7.5
Normal,Fighting,Rock,-1.0,6.5,5.5
Normal,Fighting,Ghost,13.5,6.5,20.0
Normal,Fighting,Dragon,3.0,6.5,9.5
Normal,Fighting,Dark,1.5,6.5,8.0
Normal,Fighting,Steel,18.0,6.5,24.5
Normal,Fighting,Fairy,7.0,6.5,13.5
Normal,Poison,Ground,9.5,-2.0,7.5
Normal,Poison,Flying,13.0,-2.0,11.0
Normal,Poison,Psychic,8.0,-2.0,6.0
Normal,Poison,Bug,7.5,-2.0,5.5
Normal,Poison,Rock,4.5,-2.0,2.5
