First Type,Second Type,Third Type,Defensive Score,Offensive Score,Total Score
Normal,Fire,Water,3.5,4.0,7.5
Normal,Fire,Electric,3.0,4.0,7.0
Normal,Fire,Grass,-0.5,4.0,3.5
Normal,Fire,Ice,-4.0,4.0,0.0
Normal,Fire,Fighting,1.5,4.0,5.5
Normal,Fire,Poison,0.5,4.0,4.5
Normal,Fire,Ground,3.0,4.0,7.0
Normal,Fire,Flying,6.0,4.0,10.0
Normal,Fire,Psychic,4.0,4.0,8.0
Normal,Fire,Bug,-1.5,4.0,2.5
Normal,Fire,Rock,-1.5,4.0,2.5
Normal,Fire,Ghost,15.5,4.0,19.5
Normal,Fire,Dragon,5.0,4.0,9.0
Normal,Water,Electric,6.0,6.0,12.0
Normal,Water,Grass,1.5,6.0,7.5
Normal,Water,Ice,-1.5,6.0,4.5
Normal,Water,Fighting,4.0,6.0,10.0
Normal,Water,Poison,4.0,6.0,10.0
Normal,Water,Ground,7.0,6.0,13.0
Normal,Water,Flying,7.0,6.0,13.0
Normal,Water,Psychic,6.0,6.0,12.0
Normal,Water,Bug,2.0,6.0,8.0
Normal,Water,Rock,1.5,6.0,7.5
Normal,Water,Ghost,18.0,6.0,24.0
Normal,Water,Dragon,7.0,6.0,13.0
Normal,Electric,Grass,1.5,4.0,5.5
Normal,Electric,Ice,-1.0,4.0,3.0
Normal,Electric,Fighting,4.0,4.0,8.0
Normal,Electric,Poison,3.0,4.0,7.0
Normal,Electric,Ground,4.0,4.0,8.0
Normal,Electric,Flying,10.0,4.0,14.0
Normal,Electric,Psychic,6.0,4.0,10.0
Normal,Electric,Bug,2.0,4.0,6.0
Normal,Electric,Rock,1.5,4.0,5.5
Normal,Electric,Ghost,18.0,4.0,22.0
Normal,Electric,Dragon,7.5,4.0,11.5
Normal,Grass,Ice,-6.0,6.0,0.0
Normal,Grass,Fighting,-1.0,6.0,5.0
Normal,Grass,Poison,-1.5,6.0,4.5
Normal,Grass,Ground,-1.0,6.0,5.0
Normal,Grass,Flying,0.5,6.0,6.5
Normal,Grass,Psychic,1.0,6.0,7.0
Normal,Grass,Bug,-6.0,6.0,0.0
Normal,Grass,Rock,-1.0,6.0,5.0
Normal,Grass,Ghost,14.0,6.0,20.0
Normal,Grass,Dragon,1.5,6.0,7.5
Normal,Ice,Fighting,-3.0,8.0,5.0
Normal,Ice,Poison,-2.0,8.0,6.0
Normal,Ice,Ground,-1.0,8.0,7.0
Normal,Ice,Flying,1.0,8.0,9.0
Normal,Ice,Psychic,0.0,8.0,8.0
Normal,Ice,Bug,-6.0,8.0,2.0
Normal,Ice,Rock,4.0,8.0,12.0
Normal,Ice,Ghost,14.0,8.0,22.0
Normal,Ice,Dragon,1.0,8.0,9.0
Normal,Fighting,Poison,1.0,2.5,3.5
Normal,Fighting,Ground,3.5,2.5,6.0
Normal,Fighting,Flying,5.5,2.5,8.0
Normal,Fighting,Psychic,4.0,2.5,6.5
Normal,Fighting,Bug,-1.0,2.5,1.5
Normal,Fighting,Rock,1.0,2.5,3.5
Normal,Fighting,Ghost,15.5,2.5,18.0
Normal,Fighting,Dragon,6.0,2.5,8.5
Normal,Poison,Ground,3.5,0.0,3.5
Normal,Poison,Flying,7.5,0.0,7.5
Normal,Poison,Psychic,3.0,0.0,3.0
Normal,Poison,Bug,-0.5,0.0,-0.5
Normal,Poison,Rock,0.5,0.0,0.5
Normal,Poison,Ghost,13.5,0.0,13.5
Normal,Poison,Dragon,5.5,0.0,5.5
Normal,Ground,Flying,9.0,8.0,17.0
Normal,Ground,Psychic,6.0,8.0,14.0
Normal,Ground,Bug,2.0,8.0,10.0
Normal,Ground,Rock,0.5,8.0,8.5
Normal,Ground,Ghost,17.5,8.0,25.5
Normal,Ground,Dragon,5.0,8.0,13.0
Normal,Flying,Psychic,8.0,4.0,12.0
Normal,Flying,Bug,0.5,4.0,4.5
Normal,Flying,Rock,8.0,4.0,12.0
Normal,Flying,Ghost,17.5,4.0,21.5
Normal,Flying,Dragon,8.5,4.0,12.5
Normal,Psychic,Bug,2.0,4.0,6.0
Normal,Psychic,Rock,4.0,4.0,8.0
Normal,Psychic,Ghost,16.0,4.0,20.0
Normal,Psychic,Dragon,8.0,4.0,12.0
Normal,Bug,Rock,0.0,4.0,4.0
Normal,Bug,Ghost,12.0,4.0,16.0
Normal,Bug,Dragon,3.5,4.0,7.5
Normal,Rock,Ghost,15.5,8.0,23.5
Normal,Rock,Dragon,4.5,8.0,12.5
Normal,Ghost,Dragon,20.0,2.0,22.0
Fire,Water,Electric,2.5,8.0,10.5
Fire,Water,Grass,0.0,8.0,8.0
Fire,Water,Ice,-3.5,8.0,4.5
Fire,Water,Fighting,1.0,8.0,9.0
Fire,Water,Poison,0.5,8.0,8.5
Fire,Water,Ground,5.5,8.0,13.5
Fire,Water,Flying,5.0,8.0,13.0
Fire,Water,Psychic,7.5,8.0,15.5
Fire,Water,Bug,-1.0,8.0,7.0
Fire,Water,Rock,-1.25,8.0,6.75
Fire,Water,Ghost,11.0,8.0,19.0
Fire,Water,Dragon,3.75,8.0,11.75
Fire,Electric,Grass,-1.0,8.0,7.0
Fire,Electric,Ice,-4.0,8.0,4.0
Fire,Electric,Fighting,0.5,8.0,8.5
Fire,Electric,Poison,7.5,8.0,15.5
Fire,Electric,Ground,0.0,8.0,8.0
Fire,Electric,Flying,8.0,8.0,16.0
Fire,Electric,Psychic,7.0,8.0,15.0
Fire,Electric,Bug,-1.5,8.0,6.5
Fire,Electric,Rock,6.0,8.0,14.0
Fire,Electric,Ghost,10.5,8.0,18.5
Fire,Electric,Dragon,3.5,8.0,11.5
Fire,Grass,Ice,-7.5,8.0,0.5
Fire,Grass,Fighting,-3.5,8.0,4.5
Fire,Grass,Poison,-4.25,8.0,3.75
Fire,Grass,Ground,-3.0,8.0,5.0
Fire,Grass,Flying,-2.25,8.0,5.75
Fire,Grass,Psychic,3.5,8.0,11.5
Fire,Grass,Bug,-9.25,8.0,-1.25
Fire,Grass,Rock,-2.0,8.0,6.0
Fire,Grass,Ghost,7.5,8.0,15.5
Fire,Grass,Dragon,-1.75,8.0,6.25
Fire,Ice,Fighting,-4.5,10.0,5.5
Fire,Ice,Poison,-6.5,10.0,3.5
Fire,Ice,Ground,-3.0,10.0,7.0
Fire,Ice,Flying,7.0,10.0,17.0
Fire,Ice,Psychic,1.0,10.0,11.0
